x,y
-781.3845,-477083477.5
123.2803,1873617.99
-954.9319,-870797561.6
-420.5056,-74355885.74
925.7953,793496316.4
-773.6962,-463139040.4
695.0064,335711649.2
886.508,696703476
-849.4914,-613023269
101.7183,1052439.84
-71.6756,-368225.6279
88.3778,690286.785
689.6924,328069850.7
-551.9224,-168125682.9
791.8728,496553762.5
-295.1567,-25713307.19
485.5262,114455854.2
-673.4207,-305393216.1
-366.3459,-49167033.55
805.6739,522971334.2
688.2783,326056026.8
774.5557,464684260.8
-562.4054,-177888734.6
188.3544,6682320.623
423.47,75939537.32
-700.991,-344458833.3
977.0356,932676780.4
-703.0252,-347466290.5
-31.8443,-32292.0131
530.1497,149003187.8
-346.5183,-41608161.39
-778.9837,-472699465.1
582.625,197773157.8
870.9169,660587199.8
644.4332,267629337.6
423.5151,75963802.82
-2.0763,-8.950974335
537.4354,155231126.1
497.0891,122829510.3
107.6642,1247998.183
-100.9256,-1028025.814
600.2636,216284813.1
-953.3962,-866603123.1
-221.5846,-10879745.13
-991.5267,-974794882.1
-742.1268,-408727958.3
-128.8296,-2138193.353
-431.0884,-80112264.92
-289.7722,-24331571.19
-319.9199,-32743399.44
82.128,553954.0486
-748.8338,-419910096
287.5683,23780612.16
664.7292,293720507.7
-513.1091,-135091850.5
280.0514,21964091.5
35.7655,45750.19005
104.6164,1144983.725
-99.7493,-992497.8394
-305.14,-28411713.44
768.4355,453755874.1
382.8227,56103899.23
-675.1747,-307785729.9
405.4796,66666403.75
-293.8687,-25378152.06
-592.7238,-208236616.3
-140.3836,-2766617.539
385.9881,57507137.01
-166.4136,-4608572.746
981.6692,946009495.2
789.7033,492483697.2
415.1072,71528776.87
-744.1658,-412106174.2
182.3618,6064592.308
-78.5737,-485100.378
-386.6812,-57817481.89
-172.7879,-5158696.516
-236.8943,-13294249.75
485.0017,114085324.7
-796.2334,-504802124
-841.8773,-596686756.4
536.3023,154251351.7
-854.9874,-624998742.7
590.8818,206301240.7
-473.5684,-106205778.3
122.5126,1838832.92
-180.9686,-5926655.449
75.6114,432276.7108
-279.9115,-21931191.38
714.3427,364518716.9
-326.8469,-34916693.5
957.1626,876914320.1
228.0157,11854800.62
500.5265,125395290.9
-525.745,-145320021.5
